board	branch	exposure	status	fdt_bytes	fit_created	streamed_compressed_bytes	sha256	image	alias
orangepi5-plus	vendor	affected-itb-target	BROKEN	-	Sun May 24 00:59:20 2026	12730368	af686ec441e715db819c20767952ab1d7d670be57817295595734652394f8bd6	Armbian_26.5.1_Orangepi5-plus_resolute_vendor_6.1.115_gnome_desktop.img.xz	orangepi5-plus/Resolute_vendor_gnome
orangepi5-plus	vendor	affected-itb-target	BROKEN	-	Sun May 24 00:59:20 2026	12730368	89dcdd089dd975d974ab68986d47c2eb04899bf68ddf063d4448e15d579559c6	Armbian_26.5.1_Orangepi5-plus_resolute_vendor_6.1.115_kde-plasma_desktop.img.xz	orangepi5-plus/Resolute_vendor_kde-plasma
orangepi5-plus	vendor	affected-itb-target	BROKEN	-	Sun May 24 00:59:20 2026	12730368	083216064a487f10e2b785339d0acf8106f08b237cee93152c8fd4b921378aef	Armbian_26.5.1_Orangepi5-plus_resolute_vendor_6.1.115_minimal.img.xz	orangepi5-plus/Resolute_vendor_minimal
orangepi5-plus	vendor	affected-itb-target	CLEAN	19745	Wed Feb 11 20:08:47 2026	12861440	6f33a98007f6e995248f48ab920af4921c83a3f699a70c0ccf00b8683ec73710	Armbian_26.2.1_Orangepi5-plus_sid_vendor_6.1.115-kali.img.xz	orangepi5-plus/Sid_vendor_server-kali
orangepi5-plus	vendor	affected-itb-target	BROKEN	-	Sun May 24 00:59:20 2026	12713984	6accbb485f8437920f3b16f0b0f5c49e4dce79374c89e2eab1307f936aaa7377	Armbian_26.5.1_Orangepi5-plus_trixie_vendor_6.1.115_minimal.img.xz	orangepi5-plus/Trixie_vendor_minimal
orangepi5-plus	vendor	affected-itb-target	CLEAN	19745	Wed Feb 11 20:08:47 2026	13040914	66a9c995c608292459e09d2933a5c9287354945eb256269ce2d1ed077156c111	Armbian_26.2.1_Orangepi5-plus_trixie_vendor_6.1.115-omv_minimal.img.xz	orangepi5-plus/Trixie_vendor_minimal-omv
orangepi5-plus	vendor	affected-itb-target	CLEAN	19745	Wed Feb 11 20:08:47 2026	13139968	b985c4b54d55afe7d3583caa2ae08ec74589e91c94353d74e569601542efe1ac	Armbian_26.2.1_Orangepi5-plus_trixie_vendor_6.1.115-homeassistant.img.xz	orangepi5-plus/Trixie_vendor_server-homeassistant
orangepi5-plus	vendor	affected-itb-target	CLEAN	19745	Wed Feb 11 20:08:47 2026	12976128	13a14904e3a7e76fa924ced7938d17082de788944e172f354e1bf57931657ef3	Armbian_26.2.1_Orangepi5-plus_trixie_vendor_6.1.115-openhab.img.xz	orangepi5-plus/Trixie_vendor_server-openhab
orangepi5-ultra	current	affected-itb-target	CLEAN	14854	Thu Jul 16 19:45:12 2026	12991296	136a8c0f6b6c663cbd3d5e33c1753d9ac8e582de8c99204f1dea9fb6b9b649ea	Armbian_community_26.8.0-trunk.413_Orangepi5-ultra_resolute_current_6.18.38_gnome_desktop.img.xz	orangepi5-ultra/Resolute_current_gnome
orangepi5-ultra	current	affected-itb-target	CLEAN	14854	Thu Jul 16 19:45:12 2026	12828672	3947cbabb8513bc4aa91acecdb57b79eac7c13385abcfe7800f161b1c0e090fd	Armbian_community_26.8.0-trunk.413_Orangepi5-ultra_resolute_current_6.18.38_kde-plasma_desktop.img.xz	orangepi5-ultra/Resolute_current_kde-plasma
orangepi5-ultra	vendor	affected-itb-target	CLEAN	14854	Thu Jul 16 19:45:16 2026	12809941	2b5f821aa0a8aa3f2023483458ad0bfdda2b69c686f6d622f49508d6473e84a1	Armbian_community_26.8.0-trunk.413_Orangepi5-ultra_resolute_vendor_6.1.115_gnome_desktop.img.xz	orangepi5-ultra/Resolute_vendor_gnome
orangepi5-ultra	vendor	affected-itb-target	CLEAN	14854	Thu Jul 16 19:45:16 2026	12746752	eb100bdfa630ef21f3066b7fcd3525c18c59e588efbacc8d6dceb90299e67793	Armbian_community_26.8.0-trunk.413_Orangepi5-ultra_resolute_vendor_6.1.115_kde-plasma_desktop.img.xz	orangepi5-ultra/Resolute_vendor_kde-plasma
orangepi5-ultra	current	affected-itb-target	CLEAN	14854	Thu Jul 16 19:45:12 2026	12861440	ba645ee0f1edf35cbcc1ad2b344c50af1c4726ce7a653b8b0cd6f48e1da771ad	Armbian_community_26.8.0-trunk.413_Orangepi5-ultra_trixie_current_6.18.38_minimal.img.xz	orangepi5-ultra/Trixie_current_minimal
orangepi5-ultra	vendor	affected-itb-target	CLEAN	14854	Thu Jul 16 19:45:16 2026	12730368	69a644825a14ace3e8e12b276a3dc2419e29a797ada4e69f5c37af2ed4d48c31	Armbian_community_26.8.0-trunk.413_Orangepi5-ultra_trixie_vendor_6.1.115_minimal.img.xz	orangepi5-ultra/Trixie_vendor_minimal
retro-lite-cm5	vendor	affected-itb-target	CLEAN	13473	Thu Jul 16 19:44:30 2026	12943360	4eb94eb775863dc5456a8bec53a477436fb849e03c10268534672e1d015f96f2	Armbian_community_26.8.0-trunk.413_Retro-lite-cm5_resolute_vendor_6.1.115_gnome_desktop.img.xz	retro-lite-cm5/Resolute_vendor_gnome
retro-lite-cm5	vendor	affected-itb-target	CLEAN	13473	Thu Jul 16 19:44:30 2026	12779520	c024600caf1c8bf52a0aa297824763b9ca6e796b6a7f256b060fa55e3bb7e58e	Armbian_community_26.8.0-trunk.413_Retro-lite-cm5_resolute_vendor_6.1.115_kde-plasma_desktop.img.xz	retro-lite-cm5/Resolute_vendor_kde-plasma
retro-lite-cm5	vendor	affected-itb-target	CLEAN	13473	Thu Jul 16 19:44:30 2026	12942594	1ac0207a2a12317a277e6a7478f0c05c782632e1f900847920de1876763d24f0	Armbian_community_26.8.0-trunk.413_Retro-lite-cm5_trixie_vendor_6.1.115_minimal.img.xz	retro-lite-cm5/Trixie_vendor_minimal
station-m2	current	alternate-binman-target	CLEAN	74968	Tue Jul  7 23:12:18 2026	15646720	0df79c58ec572855443f84a62b90d41884e5d76844eb0aba0f36d6cbc01bfdc1	Armbian_community_26.8.0-trunk.413_Station-m2_resolute_current_6.18.38_gnome_desktop.img.xz	station-m2/Resolute_current_gnome
station-m2	current	alternate-binman-target	CLEAN	74968	Tue Jul  7 23:12:18 2026	13008896	1adae4a1425ca26039c82c915ce59ad3f596f9e7fbb74487cf6c5aeba882431a	Armbian_community_26.8.0-trunk.413_Station-m2_resolute_current_6.18.38_kde-plasma_desktop.img.xz	station-m2/Resolute_current_kde-plasma
station-m2	current	alternate-binman-target	CLEAN	74968	Tue Jul  7 23:12:18 2026	12776756	ccfbf222fd4cfbc96dcd7ad5608c667022d3fcba4b82fc47a2f74f7c30ecfc60	Armbian_community_26.8.0-trunk.413_Station-m2_trixie_current_6.18.38_minimal.img.xz	station-m2/Trixie_current_minimal
station-m3	vendor	affected-itb-target	CLEAN	14747	Thu Jul 16 19:45:14 2026	12996288	9390c4595bbc92ca888dbfd5f9315963f4d85c57bb9735c1be58c20c776d6423	Armbian_community_26.8.0-trunk.413_Station-m3_resolute_vendor_6.1.115_gnome_desktop.img.xz	station-m3/Resolute_vendor_gnome
station-m3	vendor	affected-itb-target	CLEAN	14747	Thu Jul 16 19:45:14 2026	13058048	b8b12922b4c8bc9101e304776e5c9c7673a85393985bbb0d0138373759a50a96	Armbian_community_26.8.0-trunk.413_Station-m3_resolute_vendor_6.1.115_kde-plasma_desktop.img.xz	station-m3/Resolute_vendor_kde-plasma
station-m3	vendor	affected-itb-target	CLEAN	14747	Thu Jul 16 19:45:14 2026	12795904	322d5bd0df2a28557467358e86bc730a355a5c814538cef3bbd72785d801d8e1	Armbian_community_26.8.0-trunk.413_Station-m3_trixie_vendor_6.1.115_minimal.img.xz	station-m3/Trixie_vendor_minimal
yy3568	current	affected-itb-target	CLEAN	27318	Thu Jul 16 19:45:26 2026	12812288	953c4996a4152c8557ef84f1633239cc61384f2b6f83d8306213345844b61b3e	Armbian_community_26.8.0-trunk.413_Yy3568_resolute_current_6.18.38_gnome_desktop.img.xz	yy3568/Resolute_current_gnome
yy3568	current	affected-itb-target	CLEAN	27318	Thu Jul 16 19:45:26 2026	12893854	c2b371519fb38fb82eaf1c47892a66aad7c227cc85693cad54e6a01974840f36	Armbian_community_26.8.0-trunk.413_Yy3568_resolute_current_6.18.38_kde-plasma_desktop.img.xz	yy3568/Resolute_current_kde-plasma
yy3568	current	affected-itb-target	CLEAN	27318	Thu Jul 16 19:45:26 2026	12778761	790da5c2350da7208aeba9bc5294f53cabfbcfe875b7d10113a59381b079b1c9	Armbian_community_26.8.0-trunk.413_Yy3568_trixie_current_6.18.38_minimal.img.xz	yy3568/Trixie_current_minimal
